,Text,Sentiment_value
545,umassgives power hour today pm make donation pm today group top number unique donations receive additional,1
546,redsox tanner houck slider quality late break top mlb horizontal break top mlb location top mlb houck tanner dirtywater,1
547,connor wong helps lift boston red sox win vs toronto blue jays big night plate redsoxbaseball dirtywater redsox redsoxnation,1
548,rt umassathletics umassgives officially started ryan bamford calling support massachusetts athletics umassgives,1
549,rt etail footasylum announced opening doors flagship store london oxford street later year par,1
550,rt northwestisd hr ptrannhs nhstexans congrats wait see take care flagship,1
551,el puerto de liverpool owner department store brands liverpool suburbia told reforma newspaper plans invest million pesos us million opening flagship toy stores key cities country,1
552,minutes til management powerhour help management department win additional pm pm umassgives isenberggives,-1
553,connor wong redsox,1
554,day umassgives winds want say thank incredible supporters umassgives flagship,1
555,think offense really carried club timwakefield sox start season tomcaron redsox,-1
556,rt umassamherst day umassgives underway celebrating greatness comes life community spiri,1
557,rt coachprestonl umass coach mince amp umassfootball stopped ramsey hs flagship recruitingramsey,-1
558,connor wong flirted cycle pitching staff flirted disaster end offense continues push redsox win,-1
559,tomorrow starts umassgives hope join us university wide day giving tomorrow thursday designate gift umass hillel umass gift receive university recognition keep eye info umassgives umasshillel,1
560,yea buddy flagship dudemass,1
561,rt umassmlacrosse time garber gorillalacrosse x flagship ht,1
562,rt nesn wong second game secures w redsox,1
563,latest iwlca ilwomen top poll head wlax postseason flagship,1
564,thrilled support received community far umassgives help us reach goals year learn support,1
565,rt tmurph miss latest e gsports verdugo steps sends message anymore redsox mlb ibwaa dirtywater ht,-1
566,red sox aim maintain winning form vs jays bostonredsox redsox redsoxnation goredsox,1
567,help support undergraduate student research supporting umass icons program power hour thursday pm est thank support umassgives,1
568,made annual donation umasshockey newmass gou goumass umassgives umassgives,1
569,wong becoming legit mlb player makes happy redsox,1
570,rt mlbbarrelalert alex verdugo rhp jordan romano mph degrees ft home run mph seam fastball bluejays reds,-1
571,rt umasshockey head coach coachcarvelum exciting umassgives update generous friend program committed,1
572,rt umassbaseball split doubleheader st bonaventure today claimed victory game one falling game,-1
573,early night bluejays yusei kikuchi departs responsible redsox base,0
574,due friday contest beginning instead original time p stream available fans still follow along livestats updates flagship,0
575,wlax championship play begins friday seed minutewomen take winner davidson george washington flagship,1
576,coffee us first students friday night game receive free dunkindonuts gift card gates open p undergraduate admission free ucard wait see celebrate graduating class flagship,1
577,team think best vintage uniforms tgacards redsox brewers mets mlb polyesterunis patrickpucci gianni rock stevesporttalk jacorycrypto fenway nesn,1
578,nesn feed mlb app working watch toronto broadcast one least favorite league redsox dirtywater,-1
579,rt umassfootball another day flagship,1
580,redsox apples oranges part timer connor wong war thus far,1
581,redsox alex verdugo aboard rd time tonight hit pitch rd hbp season,1
582,takethisbread bostonradio ok maybe icons would put team mikemutnansky loumerloni wants john henry whatever redsox themed game show might think future,0
583,rt umasswbb head coach coachmikeleflar calling umass women basketball supporters invest future minutewomen,1
584,rescue animals researchmodernizationact animalcruelty abuser marmosets die umass experimenter collects millions via peta,-1
585,rt umassbaseball maclean gets double digits scoreboard nd knock day e umass siena flagship,1
586,rt rsnstats connor wong st redsox age younger hits including extra base hits home runs since xander bog,1
587,rt chrisptucci good lax day flagship,1
588,first red sox game year little rain home runs made great win even better pedro shirts dirtywater redsox dingertuesday,1
589,rt umassfootball full highlights today spring game presented mass general brigham sports medicine cooley dickinson hospita,1
590,rt bluejayspbp bluejays redsox bot th christian arroyo grounds b matt chapman b vladimir guerrero jr pop,0
591,baseball birthday charles red ruffing born today granville il redsox yankees whitesox hall fame,1
592,head coach coachmikeleflar calling umass women basketball supporters invest future minutewomen umassgives flagship,1
593,rt umasslacrosse unbeaten wlax play flagship,1
594,today day final day umassgives help fund departmental scholarships awards please consider donating today part umassgives even small donation directly impact students donate umassgives,-1
595,nearly years heather walker impacted lives countless celtics players mentorship leadership importantly friendship part fabric organization proudly move heather,1
596,today redsox lineup vs tor verdugo rf turner b refsnyder lf devers b k hern ndez ss yoshida dh arroyo b wong c tapia cf houck p,0
597,four runs come take lead third umass uri flagship,1
598,great entertaining game redsox,1
599,umassgives acspmse poly acs umass student chapter umasspmsepoly participating would greatly appreciate support continue funding graduate student focused professional development events donate via link,0
600,wcvb wbz redsox time big movie stars trade old models new one kevin best actor play cowboy farmer soldier bodyguard swimmer government agent next oh yes asshole,1
601,flagship liverpool birth study opens recruitment major birth cohort study launches today liverpool city region researchers looking families take lpoolcouncil recruitment study flagship pregnancy cgullstudy nhsuk,1
602,rt umasssoftball got deck sortino field uri tomorrow flagship,1
603,ispor marks th anniversary flagship journal value health,1
604,pink kinda flagship,1
605,bluejays redsox bot th pitching change yimi garcia replaces tim mayza,1
606,boston red sox fifty vintage navy available cncpts newdrop cncpts concepts mlb bostonredsox redsox dirtywater dodamage boston massachusetts fifty vintage navy hatcrawler fitted speakwithyourcap,1
607,rt umassamherst umassgives incredible success together raised gifts imm,1
608,time umassgives read outstanding achievements grad students learn new developments recruiting ever diverse inclusive grad student body st issue graduate excellence donate today,1
609,umass memorial medical group physicians hiring academic neurologist headache specialty massachusetts covidhiring physicianjobs academicjobs surgeonjobs medicinejobs hospitaljobs umassmemorial ericdicksonceo umassmemorialhr umass,-1
610,rt ilnerness bluejays get tying run kevin kiermaier bloop single george springer hits double play next,-1
611,rt nbcsceltics terrific gone way early doc rivers gets emotional remembering heather walker move heather celtic,1
612,rt umasspse umassgives acspmse poly acs umass student chapter umasspmsepoly participating would greatly appreciat,1
613,back tomorrow one colonials flagship,1
614,rt tmurph teach everyone dugie redsox mlb dirtywater ibwaa,1
615,bluejays win today nextlevel torvsbos bosvstor redsox,1
616,bluejays redsox bot th enrique hern ndez grounds p zach pop b vladimir guerrero jr justin turner rd rob refsnyder nd pop ip h inherited scored pitches strikes,-1
617,night redsox catcher connorwong goes two home runs two left field home runs fenway might outs mlb park double pounded greenmonster would home run park,-1
618,mhmiller stanfinger augensteinwtop years find fan still lives goes away time work heck grew yankees fan spent years working redsox network boss said root team whose logo paycheck news different beast,-1
619,baseball mlb baseballbat mlbtheshow day autographed baseballcards memorabilia redsox blazedrts hobby connect hobbyretweet mlbtwitter sox check autographed johnny pesky x photo world series boston red sox mlb ebay via ebay,1
620,rt martymeehan recently celebrated installation foot segment berlin wall umassamherst donated universit,1
621,last time loss redsox starter tanner houck came last wednesday orioles allowed runs earned hits walks strikeouts ip threw pitches strikes,-1
622,good morning umass,1
623,rt umasstennis head coach jcnunez sending message orlando fl umass tennis competing championships,-1
624,redsox lucky enough game tonight went pee top th longer allowed wongs nd homer th go ahead run winckowski cinches first save double play hated george springer love dirty water,1
625,rt manningcics umassgives givehappy help fund amazing student organizations gift small help us,1
626,rt umasshockey day umassgives winds want say thank donors made gift today way,1
627,beyond thankful generosity umassgives,1
628,lady inspired get moving amp run bostonmarathon thank legacy live better maemichalowski move heather,1
629,bryan kicks red sox blue jays game ceremonial first pitch fenway park usvi boston bluejays redsox,1
630,loved hearing guys together broadcast booth god miss days love guys timwakefield youk greekgodofhops redsox redsoxnation,1
631,rookie creighton gubanich became fourth mlb player launch grand slam first big league hit home run career least made count redsox dirtywater via courtsidetweets overthemonster jared carrabis,-1
632,jt si gle moves duggie nd redsox,0
633,rt umassmbb help us officially welcome mathokmajok flagship,1
634,bluejays daulton varsho homers ft fly ball right center redsox tanner houck vladimir guerrero jr scores matt chapman scores tor bos top,1
635,rt chrisptucci whole series extremely heavy lift creative team got done big ac sbe inter,1
636,rt bleacherbrawl one month season luket acknowledges key redsox contributors team faced adversity month l,-1
637,high time launch business idea convert profitable venture flagship studentpreneur program discover summer boot camp link bio flagship mentorshipprogram summerbootcamp bootcamp entrepreneurship businessmentorship,1
638,rt valdamartbrower panhandle day panama city florida looking disciplined savages u u u umass flagship,1
639,yoshida shot sox bullpen redsox,1
640,rt fightma lieberman committed umass season,-1
641,umasspse aspire program celebrating years year umassgives raising funds even local students participate explore interests stem donate via link,1
642,nicely done redsox tanner houck sets bluejays nd inning,1
643,said redsox tanner houck sets bluejays bottom order batters get top th quickly,1
644,rt umass rainbows form circle henry age cambridge asks conversationus help answer umasslowell professor,1
645,excited announce recipient william joiner institute veterans excellence award april arthur n mabbett congratulations mr mabbett thank continuing serve broader community veteran umass umassboston,1
646,business launch platform students turn ideas reality enroll flagship mentorshipprogram youngentrepreneur startuplife entrepreneurmindset innovative startup innovativestudent youthbusiness,1
647,one holy crap old moments trying enjoy ballgame see grandson one favorite players kid redsox mlb sfgiants,-1
648,wong deep dingers connor wong found swing redsox,-1
649,game one lineup uri get way sortino field flagship,1
650,thank refsnyder ending ugly inning putting misery redsox dirtywater,-1
651,redsox beat bluejays dirtywater nextlevel,1
652,great second effort abbott tied gorillalacrosse x flagship,1
653,umassgives campaign takes place today tomorrow gifts made college time support programs opportunities make student educational journey special every gift matters,1
654,interesting redsox hit doubles season also second slg ops hitting stats good,1
655,boston red sox score final redsox blue jays redsox bostonathletemagazine,1
656,rt somejuanelse wong redsox,0
657,iphone pro review still great smartphone apple cameraphone flagship iphonepro review test testreport,1
658,arroyo followed wong laser lf wall double redsox,1
659,buckner call enough send redsox fans ptsd episode,-1
660,last hours support uwil umassgives contribution helps students like katarina realize potential,1
661,rays looking strong aleast title chase competition strong mlb baseball bluejays yankees orioles redsox,1
662,rt allen spearman sixers thank heather move heather,1
663,today redsox bullpen report available pitch kenley jansen chris martin john schreiber richard bleier ryan brasier unavailable pitch josh winckowski kutter crawford brennan bernardino,0
664,connor wong hr night redsox,1
665,took think redsox figured things start finish lgrs dirtywater,-1
666,rt umassbaseball minutes away gifts challenge head coach coachreynolds hopes knock challenge,-1
667,bluejays redsox top th bo bichette walks bichette bb k lob,1
668,bluejays redsox top th passed ball catcher connor wong bo bichette scores vladimir guerrero jr nd,1
669,rt sbs umass time umassgives umasspolsci power hour p et today gift amount help,1
670,rt elogicalstech simpleenergy launching flagship electric scooter simple one cover km singlech,1
671,rt umasslacrosse wlax co coach year jana drummond flagship,1
672,welcome umass congratulations admission decision wait welcome campus fall celebrate decision us using hashtag umass tag us post umassamherst umass umassadmissions,1
673,rt hifftracker bluejays redsox vladimir guerrero jr swinging rhp tanner houck seq fc sl fs mp,0
674,episode week yearly favorite hof certainties amp maybes well ways mlb players watching years phillies craig kimbrel amp redsox kenley jansen career saves better chance almost guys like billy wagner,1
675,going come team bullpen worse bluejays redsox mlb,-1
676,watch nba philadelphia ers vs boston celtics free live stream fortheloveofphilly brotherlylove ers celtics nba move heather,-1
677,view sceneatumass umassamherst sunset,-1
678,lesieur sets em minutemen head bottom st umass siena flagship,1
679,come far come far congratulations beginning rest lives go get em graduates graduation graduationmonth graduationday umass inspiration career future learning graduate graduated umassalumni,1
680,redsox bluejays final,1
681,thank generously contributed year umassgives campaign gifts day period spectacular total nearly support students thank decision givehappy,1
682,rt maureenturnerwm made umassgives gift umassjournalism yet fear midnight,1
683,rt lcraney students call umassuwil empowering eye opening life changing board member watching program grow,1
684,love dirty water redsox fenway,1
685,horrible flash back last year duran center field exact team kicking ass watched infield park grand slam happen redsox dirtywater,-1
686,view carousel lounge mscvirtuosa prepared disembark cunard cunarder qm stern southampton flagship nauticallyspeaking,1
687,rt umassbaseball hartford amherst mass earl lorden field p espn htt,1
688,big fan yoshida unique skillset shades mookie betts hitting excited see season rolls redsox,1
689,congrats umasslacrosse another regular season title top seed next weekend tournament shout seniors made tremendous contributions team success many years big week ahead go minutewomen flagship,1
690,gifts challenge calling umass men soccer supporters show p amp help us win gifts challenge every gift matters matter size umassgives flagship,1
691,redsox tanner lee houck st louis missouri lives today collinsville illinois listed foot pounds selected bos st round june draft th overall pick,1
692,rt umassenglish support english department umassgives give link,-1
693,make today umassfootball spring game spirit tell bros say good luck today fellas umass,1
694,hey umass build family thru loyalty man wait knockknock,1
695,rt flagshipclub join venture entrepreneurial journey like boss flagship join,1
696,gifts away unlocking student challenge students give back sandy barbour generously contribute tag isenberg student still needs donate umassgives isenberggives,-1
697,got deck sortino field uri tomorrow flagship,1
698,great see landmark hmv flagship retail store returning london oxfordstreet cxtransformation phygital music video entertainment,1
699,mtn zambia launches flagship mtn skills academy zambia aimed address digital skills gap africa,1
700,david hamilton get call play ss redsox redsoxnation dirtywater,-1
701,mr walkoff verdugo homers third game ending hit season redsox win amp pass yankees standings lfg redsox dirtywater,-1
702,day left support umass men basketball umassgives flagship,1
703,discover makeover clio v renault upgrades flagship model tech car clio discover flagship,1
704,jimin bts arrives tiffany amp co reopening nyc flagship store landmark arrives tiffany reopening flagship,1
705,rt umassmlacrosse richmond bound inaugural atlantic championship gorillalacrosse x flagship,1
706,umass women lacrosse supporters head coach jana drummond message umassgives flagship,1
707,boston celtics heather started move heather challenge shortly diagnosis august,-1
708,red sox undefeated month may redsox facts,-1
709,know much attention paid baseball side things tonight watching bluejays redsox home office talking want discuss,1
710,rt adampellerin connor wong turning duel threat eyes redsox,-1
711,big spot redsox rafael devers,1
712,congratulations massachusetts secretary education amp umass trustee patrick tutwiler named bostonmagazine list influential bostonians well deserved masseducation massgovernor highereducation umass studentsuccess,1
713,rt themassco starting book tonight written umass legend themassco supporter tmcla buy,1
714,bluejays redsox bot st rafael devers flies lf daulton varsho hit ft mph kikuchi ip h k pitches strikes,-1
715,alex cora see alex verdugo walk home run redsox rt,1
716,umass memorial medical group physicians hiring cardiac anesthesiologist worcester covidhiring physicianjobs academicjobs surgeonjobs medicinejobs hospitaljobs umassmemorial ericdicksonceo umassmemorialhr umass job,0
717,avg ops season redsox rafael devers outs outs lt lt lt,1
718,gifts challenge umass swim amp dive supporters need show p amp help us win gifts challenge every gift matters matter size umassgives flagship,1
719,gifts challenge umass tennis supporters need show p amp help us win gifts challenge every gift matters umassgives flagship,1
720,spring game photo dump flagship,1
721,rt umassmlacrosse laxbacker nation time running gifts away reaching goal let score big,1
722,today day support umassuwil umassgives power hour,1
723,connor wong ridiculous right goes monster give redsox lead bot second home run many bats last homers bluejays,-1
724,thoughts prayers heather walker family friends amp celtics impact amp fight face glioblastoma admirable participated move heather walk last year amp clear wanted help others battling diagnosis rip heather,1
725,whitesox redsox cardinals discussed latest episode mlb trade rumors podcast find spotify apple wherever get podcasts,-1
726,starting lineup wameling dp whittier cf pantoja ss shields lf lamson b packard b cadden b guindon c whelan rf dipasquale p flagship,1
727,rt fightma ft lauderdale st thomas aquinas lb rashad henry rashadhenry ov umass weekend via ig shadguwop,1
728,blumenthal flashing leather umass hartford flagship,1
729,days away college decision day may say yes umassamherst tag us admission decision posts use hashtag umass umassamherst umass umassadmissions,-1
730,umassgives givehappy help fund amazing student organizations gift small help us reach goal donors unlock matching gift learn amp give today,1
731,wlax rookie team members flagship,1
732,red sox alex cora reacts enmanuel valdez first home run bostonredsox redsox bosox goredsox,1
733,today lineup game colonials flagship,1
734,footasylum announced opening doors flagship store london oxford street later year part ambitious expansion programme find retailnews flagship london,1
735,yea buddy privilege road umassfootball bay state dunkindonuts still hot amp middayride well underway next great minutemen flagship dudemass,1
736,mess boston boston massachusetts redsox bostonredsox baseball mlb,0
737,join like minded studentpreneur community flagship learn marketing amp entrepreneurship summer boot camp enroll kid today flagship mentorshipprogram startuplife innovative startup innovativestudent youthbusiness,1
738,rt flagshipclub high time launch business idea convert profitable venture flagship studentpreneur pr,1
739,monday may mlb recap posted earlier morning available winning teams monday padres dodgers guardians astros redsox cubs plus braves mets split doubleheader,-1
740,watch today action flagship,1
741,umass goumass proceeds go umass athletes,-1
742,redsox score leadoff walk start rd inning tanner houck light hitting danny jansen,-1
743,head coach jasondowiak message umass women soccer family set alarms p today participate gifts challenge every gift counts matter size umassgives flagship,1
744,rt umassfootball trenches flagship,1
745,sure set p tonight head coach coachmikeleflar joining umassgives twitter spaces umassgives flagship,1
746,guv mos cm review flagship progs arunachal times,1
747,rt umassathletics congrats umass student athletes week presented umassfive justin blumenthal umassbaseball nola,1
748,let go celtics bleedgreen nbaplayoffs unfinishedbusiness move heather,-1
749,blessed receive offer university massachusetts agtg flagship sims coach keithdudz coachmliv thecribsouthfla gabyurrutia swiltfong rivalsfriedman geomilian larryblustein adamgorney rivals sports recruiting,1
750,great goal kylee bowen assisted fiona mcgowan q umass george mason flagship,1
751,montague house story side gable greek revival wood frame structure built circa currently serves home umassamherst center international education revinsheart,1
752,minimise use metallurgical coke lower carbon emissions tata steel ltd begun pilot inject hydrogen gas blast furnace flagship facility,0
753,saw coming redsox,-1
754,rt umassfootball gifts challenge calling umass football supporters show p amp help us win,1
755,rt miuiind xiaomi superfans thesuperphone mi ultra g available miui amp android enjoy ultima,1
756,rt umassfootball massachusetts football inside spring camp episode flagship,1
757,rt themassco sold around far raising umass athletes order deadline proceeds go,-1
758,last day umassgives please help us raise funds umassjournalism students still time donate every dollar makes significant difference click give rt krforde stevejfox bethwally maureenturnerwm rodzam,-1
759,rt rsnstats redsox tanner houck streak consecutive starts earned runs allowed ends tonight,-1
760,red sox player yoshida hit th consecutive hit even home run yesterday japanese sports shows explaining changed swing form started hitting better redsox yoshida baseball homerun newform sportsnews,-1
761,delighted flagship aparthotel kings road upgrade work well underway brand new look fresh modern including marble bathroom tiles matching new marble effect kitchen worktops kingsroad reading thamesvalley,1
762,rt nesn cool see kids coming getting chance play contributing alex cora impact,1
763,currently individual donors far umassgives power hour hannah frilot memorial scholarship getting close goal got tough competition donate,-1
764,rt arcana nexus sciencefiction scifi spaceship starship nook iartg novel purchase books support work ebook,1
765,time marketing powerhour help marketing department secure extra highest amount unique donors pm pm win umassgives isenberggives,1
766,rt flagshipclub parents california cherished enrolling kids student entrepreneurship program organized,1
767,sidekicks spring show nhstexans flagship texansatwork gene pike sidekickssocial,1
768,boston red sox lineup pm roto mlb dfs redsox dirtywater,-1
769,hey redsox fans celebrating verdugo trade forget make cash temu app invitation code lt gt could earn joining laughing way bank alexverdugo temu,-1
770,go get em evandeck flagship,1
771,red sox cardpurchaser redsox,1
772,wong gone redsox,-1
773,luttazi run shot b umass hartford flagship,1
774,standing years later piece endure generations umass students represent powerful symbol freedom perseverance hope gaze upon umass umassamherst lp news,1
775,ideation launch flagship student entrepreneurship club provides support resources need turn dreams reality enroll flagship businessincubator moziahbridges capitalraisen growthfunding calebmaddix,1
776,head coach coachcarvelum sending message umass hockey supporters naples fl umassgives flagship,1
777,bluejays trail redsox bottom th,1
778,red sox fans celebrating latest trade also celebrate extra cash download temu code lt gt search way rewards home run wallet temu redsox,1
779,wong dinger tie ball game redsox,1
780,rt umassbaseball day umassgives winds want say thank incredible supporters umassgives flagsh,1
781,im ngl expect see arroyo hit homer especially massive homer redsox dirtywater,-1
782,give youk wake nesn booth redsox games time love gosox,1
783,fordham picks doubles point ready bounce back singles play krasakova senli hack napadiy cannon jonglertrakul flagship,1
784,points single game wlax player last seasons flagship,1
785,connor wong sox lead redsox,1
786,rt flagshipclub business launch platform students turn ideas reality enroll,1
787,rt globaltechg check stylish amp powerful oneplus review oneplus oneplus oneplusbeatsall neversettle,1
788,know bat chalk little playing time like redsox raimel tapia plays hard every time would like see,0
789,umassgives still live midnight win yesterday power hour try tonight pm est donate counted unique donor win kindacamp umass anthro givehappy,-1
790,would thought rays pirates series would buzz start season nice appetizer see boys turn around boston raysup pirates redsox nextlevel,0
791,watching different jt amp rob tonight game going last nights game went started promising let boston teams damn mess redsox dirtywater celtics,-1
792,care umassathletics please consider donating umassgives every little bit helps get us resources need successful flagship,1
793,redsox winning bluejays,1
794,rt umassmlacrosse gabriel procyk tough nails gorillalacrosse x flagship,1
795,innings redsox bluejays point game season bos leading tor trailing,1
796,thank heather move heather,1
797,rt danvalerio td bank ballpark somerset county tournament semis bridgewater raritan brbaseball mound umass co,1
798,phil amp linda roland graciously offered challenge gift help attain donor goal let unlock together umassgives flagship,1
799,rt ptrannhs sidekicks spring show nhstexans flagship texansatwork gene pike hatfieldelem sidekickssocial,1
800,heather palmer graciously committed gift challenge alumni get involved learn support programs visit umassgives flagship,1
801,rt coachmikeleflar appreciate support entire umass wbb community past weeks umassgives fu,1
802,support english department umassgives give link,1
803,time umassgives umasspolsci power hour p et today gift amount help department political science win additional funding,-1
804,calling oim alumni help oim department secure additional highest amount unique donors pm pm win umassgives isenberggives isenbergopsinfo,1
805,honored alumni umass umassbostonhed umassboston,1
806,rt flagshipclub join flagship summer bootcamp learn skills strategies need succeed marketing finance,1
807,rt sambergershow new york yankees last place goodnight yankees yankees mlb mlbtwitter redsoxnation redsox redsox,1
808,let declared may nd officially known wong game boston redsox,-1
809,conditions first pitch today redsox game rain f c winds mph variable directions,0
810,redsox alex verdugo regrets criticizing alek manoah podcast interview,-1
811,congrats two recognized performances hobart helped us secure tournament berth gorillalacrosse x flagship,1
812,proud awesome faculty coalition absolutely common good go umass blackmaternalhealth blackintech knowledge healingcircle blackexcellence excellence umassamherst womenempowerment simplythebest,1
813,connor wong like conner dong connor fuckin ding dong redsox jared carrabis,-1
814,redsox players club history multiple hit games single season recently andrew benintendi dustin pedroia johnny damon nomar garciaparra manny ram rez hall famer wade boggs dom dimaggio,1
815,rt umasssoftball sb action wednesday afternoon presented massgenbrigham rhodysoftball amherst mass sort,1
816,congratulations tergel molom ochir receiving umass rising star researcher award undergraduate research accomplishments,1
817,nice good track field great flagship love go u umass athletics flagship,1
818,umassgives power hour begun even donation would mean world us support student journalists give,-1
819,different impacts common drive thank umassgives isenberggives,0
820,meet new guy justin garza redsoxbaseball dirtywater redsox mediasrojas,1
821,behalf everyone mccormack thank amazing donors past two days umassgives mccormackproud,1
822,jays run inning red sox storm back win bostonredsox redsox redsoxnation goredsox,-1
823,baseball mlb baseballbat mlbtheshow day autographed baseballcards memorabilia redsox blazedrts hobby connect hobbyretweet mlbtwitter check autographed johnny pesky x photo world series boston red sox mlb ebay via ebay,1
824,day umassgives underway celebrating greatness comes life community spirit generosity give opportunity givehappy,1
825,rt umassathletics join us umassgives edition twitter spaces special guests april p,1
826,fantrax injury report running today analysis injury mntwins tyler mahle perplexing concerns yankees carlos rodon good news redsox garrett whitlock plus step forward astros jos altuve,-1
827,happy wednesday game day presented massgenbrigham merrimacksb amherst mass sortino field p espn flagship,1
828,boston red sox olive undervisor fifty pink blue available fanatics newdrop fanatics mlb bostonredsox redsox dirtywater dodamage boston massachusetts olive undervisor fifty pinkblue hatcrawler fitted,0
829,day ntichy tichy records career best home runs career high rbi victory siena flagship,1
830,rt coachp eterson appreciate guy coachalexmiller stopping hill today flagship sparktheflint,1
831,international ngos decolonial perspective conversation reception today pm et online person old chapel rsvp amp get zoom link umass umassamherst ngos,-1
832,damn connor wong night redsox,1
833,jackson jackson cronin themassco spring game tailgate umass support directly joining mass co using referral link goumass,1
834,given single scores hill extend lead b umass hartford flagship,0
835,rt umassfootball fun spring made plays sides ball flagship,1
836,bluejays redsox bot rd justin turner pops ss bo bichette kikuchi ip h r k pitches strikes,-1
837,rt umassbaseball given single scores hill extend lead b umass hartford flagship,1
838,yoshida needs spot lineup instead refsnyder need hits rbis redsox,0
839,blessed receive offer university massachusetts flagship mnw fb coachverne andrew ivins agtg,1
840,redsox jarren duran bat rob refsnyder vs new bluejays reliever,1
841,rt mifcassam hey mifans new meetup time come experience exclusive flagship xiaomi pro date apr,1
842,rt umassathletics gifts challenge live show love teams donation gift let see teams receive th,1
843,special shout best buddies amherst regional hs allowing us opportunity engage community flagship,1
844,rt enilev tiffany flagship store new york fifth avenue back business years renovation via quicktake arasco,1
845,rt rsnstats look redsox bluejays compared mound case many competitors tor leads,1
846,rt umpcrew umpires bluejays redsox little ryan additon dan merzel lance barksdale base assignments,1
847,sidekicks spring show nhstexans flagship texansatwork gene pike hatfieldelem sidekickssocial,1
848,could see inning blowing hitters ago yet houck still pitching redsox,0
849,wong dong game tied redsox,-1
850,rt fightma c st sebastian expressionsball guard picks umass offer today confused minutemen footbal,-1
851,bluejays redsox top st vladimir guerrero jr flies sharply lf rob refsnyder hit ft mph guerrero jr lob,1
852,reclaim lead hanson crosses plate single toth fifth e umass st bonaventure flagship,1
853,leading flagship,1
854,good red sox dub coke back kings redsox,1
855,rt ztedevice mps cameras impressed expected androidpolice get positively surprised zteaxon ultra stunning,1
856,bluejays redsox bot th masataka yoshida singles ground ball lf daulton varsho justin turner scores rob refsnyder rd hit ft mph pop ip h inherited scored pitches strikes,-1
857,rt umasslacrosse alex finn scores rd goal season q umass george mason flagship,1
858,honor umassgives one greatest umassfootball players time great greg landry flagship,1
859,another wong dong needs mookie redsox,-1
860,gifts challenge umass field hockey supporters need show p amp help us win gifts challenge every gift matters umassgives flagship,1
861,next stop green bay congrats guy ellism minicamp invite packers flagship,1
862,hey friends amp doggo fans umassgives starts tomorrow send fundraiser link later year comparative primatology lab umass anthro sbs umass fundraising help support scout education initiatives wonderful team kindacamp kasankatrust,1
863,graduate students took trip lifetime uk visits premierleague f imbledon many trips possible generous gifts umassgives,1
864,congratulations challenge winners umassbaseball umasshockey umassmsoccer less hours left umassgives,1
865,watch nba philadelphia ers vs boston celtics free live stream fortheloveofphilly brotherlylove ers celtics nba move heather celtics bleedgreen nbaplayoffs ers celtics,-1
866,rt celtics nearly years heather walker impacted lives countless celtics players mentorship leadership,1
867,get ready another great match tonight toronto blue jays playing boston red sox going close match think emerge victorious redsox mlb,1
868,baseball yoshida homers kikuchi red sox win blue jays redsox kyodonewsplus,1
869,good day dub flagship,1
870,rt umassfootball massachusetts football inside spring camp episode flagship,1
871,support graduate school students umassgives fantastic still time donate miss chance make difference,1
872,zara new flagship store depicts upscale drive zara unveiled latest flagship famed avenue des champs lys es integrates futuristic tech focus fashion customerservice retail upscale luxury champselysees retailing,1
873,sbs faculty excellence fund supports faculty across sbs departments programs undertaking world class social science research real world wide ranging impacts umassgives gifts unlock challenge,1
874,bluejays redsox george springer foul tip rhp tanner houck seq fs sl ff mph four seam fastball,1
875,hours umassgives spaces hosted burnham jay special guests listed sure set tomorrow night,1
876,lord nesn enough marketing dumb content annoying hell redsox,-1
877,rt umasssoftball day left support umass softball umassgives flagship,1
878,rt popmarcomm today day support umassuwil umassgives power hour,1
879,reached donors thanks everyone made gift umassgives mccormackproud,1
880,lineup series finale skagerlind cf maclean b tichy lf luttazi dh hanson rf blumenthal b hill ss pearsons b j given c jack steele gets start bump flagship,1
881,rt nesn means lot family tanner houck partnership thehomeorg redsox,0
882,wong needs triple problem redsox,-1
883,bluejays redsox daulton varsho homers fly ball rcf run hit ft mph pitch mph splitter rhp tanner houck,-1
884,houck reliever starter redsox,1
885,time game tidy hours minutes crowd fans saw redsox beat bluejays take first games game series mlb,-1
886,check roger gaudette video tiktok usa trump election nfl nhl nba mlb yankees redsox taxes ukrainerussiawar bankingcrisis msm senategop senatedems senwarren npr msnbc foxnews tuckercarlson seanhannity,-1
887,thankful amp grateful flagship,1
888,oh carter hanson hanson makes sliding web gem umass siena flagship x sctop,1
889,umassuwil power hour et gift helps innovative leadership training professional development program win extra prize umassgives,1
890,alex finn scores rd goal season q umass george mason flagship,1
891,thank gave pbs umassgives raised gifts awesome matched dept gt scholarships upcoming seniors financial need funds help complete last year college,1
892,wong madness redsox,0
893,rt peteabe redsox games first time since last july,1
894,got fast start helping us triumph hartford afternoon steve luttazi nolan tichy contributed two home runs seventh tyler dalton received first winning decision season flagship,1
895,manoah vs redsox tomorrow night interesting,1
896,tichy gets us board two run homer marking eighth season st bonaventure umass flagship,1
897,happiness wearing school colors pride giveaway alert chance win umassgives sweatshirt tell us area campus get support comments ten winners announced pm edt today givehappy,1
898,university massachusetts saturday flagship keithdudz fbcoachdbrown coachdanielsjr,1
899,hamden hall ct te holds umass offer,-1
900,bluejays redsox bot th blue jays challenged play st call field overturned alex verdugo grounds force b whit merrifield ss bo bichette raimel tapia nd alex verdugo st hit ft mph,-1
901,redsox pitching continues make physical ill disgusting,-1
902,ugh turned fast redsox,-1
